Platform,Domain,Title,Organization,Rating,Learners,Duration,Difficulty,Price,Duration_Months,Is_Paid,Difficulty_Clean,Difficulty_Encoded,Success_Label
Coursera,Data Science,Advanced Statistical Techniques for Data Science,Illinois Tech,4.5,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Calculus for Machine Learning and Data Science,DeepLearning.AI,4.8,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Programming for Python Data Science: Principles to Practice,Duke University,4.6,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Introduction to Data Science Techniques,Illinois Tech,4.3,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Fractal Data Science,Fractal Analytics,4.5,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Introduction to R Programming for Data Science,IBM,4.5,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Programming for Data Science,University of Leeds,4.4,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Data Science with Real World Data in Pharma,Genentech,4.8,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,SQL fÃ¼r Data Science,"University of California, Davis",4.2,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Generative AI: Elevate Your Data Science Career,IBM,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Code Free Data Science,University of California San Diego,4.3,7950.0,1 - 4 Weeks,Beginner,Free to Audit,0.25,0,beginner,0.0,0
Coursera,Data Science,"Data Science with NumPy, Sets, and Dictionaries",Duke University,3.9,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Introduction to Data Science and scikit-learn in Python,LearnQuest,3.7,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Data Science in Real Life,Johns Hopkins University,4.5,2400.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,Learn SQL Basics for Data Science,"University of California, Davis",4.6,17000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Python for Data Science,Fractal Analytics,4.1,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,PySpark for Data Science,Edureka,2.7,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science: Ethical decision-making in practice,University of Leeds,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Python for Genomic Data Science,Johns Hopkins University,4.3,1800.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,SQL for Data Science with R,IBM,4.4,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,Data Science with R,Duke University,4.8,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science with R - Capstone Project,IBM,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Applied Data Science with R,IBM,4.5,1300.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Vital Skills for Data Science,University of Colorado Boulder,4.3,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,Practical Data Science with MATLAB,MathWorks,4.8,1100.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,"NumPy, Matplotlib & Pandas â Data Science Prerequisites",Packt,4.9,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science Methods for Quality Improvement,University of Colorado Boulder,4.4,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,0
Coursera,Data Science,SQL for Data Science Capstone Project,"University of California, Davis",4.2,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,"Data Science Foundations: NumPy, Pandas & Visualization",Packt,4.6,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Data Science & Machine Learning Fundamentals,Corporate Finance Institute,4.7,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Survey of Data Science,Packt,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Data Science Project: MATLAB for the Real World,MathWorks,4.7,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Science Companion,MathWorks,4.9,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Introduction to Clinical Data Science,University of Colorado System,4.5,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Science as a Field,University of Colorado Boulder,4.3,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,The Data Science Profession â Student View,University of London,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Spatial Data Science and Applications,Yonsei University,4.4,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Tidyverse Skills for Data Science in R,Johns Hopkins University,4.5,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Building a Data Science Team,Johns Hopkins University,4.5,3300.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,Data Science for Business Innovation,28DIGITAL,4.3,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Data Science Capstone,Johns Hopkins University,4.5,1200.0,1 - 3 Months,,Paid / Subscription,1.0,1,,0.0,0
Coursera,Data Science,Health Data Science Foundation,University of Illinois Urbana-Champaign,4.6,7950.0,1 - 4 Weeks,Advanced,Paid / Subscription,0.25,1,advanced,2.0,1
Coursera,Data Science,Communicating Data Science Results,University of Washington,3.4,7950.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,Finalize a Data Science Project,CertNexus,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Address Business Issues with Data Science,CertNexus,4.5,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Ethical Issues in Data Science,University of Colorado Boulder,4.8,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Executive Data Science Capstone,Johns Hopkins University,4.7,1600.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,CertNexus Certified Data Science Practitioner,CertNexus,4.6,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Data Science Decisions in Time,Johns Hopkins University,4.6,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Process Mining: Data science in Action,Eindhoven University of Technology,4.7,1300.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,"Data Science Essentials: Analysis, Statistics, and ML",Packt,4.7,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Data Science and Analysis Tools - from Jupyter to R Markdown,Codio,3.9,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Data Science in Stratified Healthcare and Precision Medicine,The University of Edinburgh,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Python Packages for Data Science,University of Colorado Boulder,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Statistics for Genomic Data Science,Johns Hopkins University,4.2,7950.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,Data Science with Python: Analyze & Visualize,EDUCBA,4.6,7950.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,1
Coursera,Data Science,Advanced Clinical Data Science,University of Colorado System,4.8,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,"Data Science Fundamentals, Part 2",Pearson,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,The Power of Statistics,Google,4.8,7950.0,1 - 3 Months,Advanced,Paid / Subscription,1.0,1,advanced,2.0,1
Coursera,Data Science,"Data Science: How to Plan Projects, Research and Reflect",University of Leeds,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Statistics & Mathematics for Data Science & Data Analytics,Packt,4.8,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Statistics for Data Science Essentials,University of Pennsylvania,4.5,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Bachelor of Science in Data Science & AI,IIT Guwahati,4.6,7950.0,72 months,,Paid / Subscription,72.0,1,,0.0,1
Coursera,Data Science,Master of Data Science,University of Pittsburgh,4.6,7950.0,20 months,,Paid / Subscription,20.0,1,,0.0,1
Coursera,Data Science,Data Science Fundamentals Part 1: Unit 1,Pearson,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Pandas for Data Science,Duke University,4.2,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,The Data Science of Health Informatics,Johns Hopkins University,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Expressway to Data Science: Essential Math,University of Colorado Boulder,4.5,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,Expressway to Data Science: R Programming and Tidyverse,University of Colorado Boulder,4.1,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,"Intro to Analytic Thinking, Data Science, and Data Mining","University of California, Irvine",4.2,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,Data Science Ethics with R,Duke University,4.9,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,IBM Data Analyst,IBM,4.6,98000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Building a Real-World Data Science Solution,Coursera,4.6,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Foundations of Data Science: K-Means Clustering in Python,University of London,4.6,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,More Applied Data Science with Python,University of Michigan,4.3,7950.0,3 - 6 Months,Advanced,Paid / Subscription,3.0,1,advanced,2.0,0
Coursera,Data Science,Get Started with Python,Google,4.8,1800.0,1 - 3 Months,Advanced,Paid / Subscription,1.0,1,advanced,2.0,0
Coursera,Data Science,Data Science at Scale - Capstone Project,University of Washington,3.8,7950.0,1 - 3 Months,,Paid / Subscription,1.0,1,,0.0,0
Coursera,Data Science,Data Analysis with R Programming,Google,4.8,12000.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Command Line Tools for Genomic Data Science,Johns Hopkins University,4.6,7950.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,1
Coursera,Data Science,Essential Linear Algebra for Data Science,University of Colorado Boulder,4.5,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Generative AI for Data Science with Copilot,Microsoft,4.7,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,GenAI for Data Science Teams,Coursera,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Analysis with Python,IBM,4.7,20000.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Cybersecurity for Data Science,University of Colorado Boulder,3.5,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,Bioconductor for Genomic Data Science,Johns Hopkins University,3.8,7950.0,1 - 4 Weeks,,Paid / Subscription,0.25,1,,0.0,0
Coursera,Data Science,Use Tableau for your Data Science Workflow,Edureka,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Algebra and Differential Calculus for Data Science,University of Colorado Boulder,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Statistical Estimation for Data Science and AI,University of Colorado Boulder,4.1,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data science perspectives on pandemic management,Politecnico di Milano,4.5,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Generative AI for Data Science,Microsoft,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,R Programming,Johns Hopkins University,4.5,22000.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Perform data science with Azure Databricks,Microsoft,3.1,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Leverage Data Science for a More Agile Supply Chain,"University of California, Irvine",4.5,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Power BI for Data Science and Analytics,Edureka,4.2,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,Linear Algebra for Data Science Using Python,Howard University,4.3,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Use Tableau for Your Data Science Workflow,"University of California, Irvine",3.9,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,0
Coursera,Data Science,Essential Causal Inference Techniques for Data Science,Coursera,4.5,7950.0,2 Hours,Beginner,Paid / Subscription,0.002777777777777778,1,beginner,0.0,1
Coursera,Data Science,Python per la Data Science,UniversitÃ  di Napoli Federico II,4.3,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science con Python e R,UniversitÃ  di Napoli Federico II,4.2,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Linear Algebra and Regression Fundamentals for Data Science,University of Pittsburgh,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Google Advanced Data Analytics,Google,4.8,11000.0,3 - 6 Months,Advanced,Paid / Subscription,3.0,1,advanced,2.0,1
Coursera,Data Science,Statistical Learning for Data Science,University of Colorado Boulder,4.6,7950.0,3 - 6 Months,Intermediate,Paid / Subscription,3.0,1,intermediate,1.0,1
Coursera,Data Science,BSc Data Science,University of Huddersfield,4.6,7950.0,,,Paid / Subscription,1.0,1,,0.0,1
Coursera,Data Science,Hands-on Foundations for Data Science and Machine Learning with Google Cloud Labs,Google Cloud,4.3,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science & Inteligencia Artificial aplicados a negocios,Universidad de Palermo,4.4,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,0
Coursera,Data Science,Mathematics for Machine Learning,Imperial College London,4.6,15000.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,1
Coursera,Data Science,Data Science Fundamentals Part 1: Unit 2,Pearson,4.6,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,Data Analysis Using Python,University of Pennsylvania,4.5,7950.0,1 - 4 Weeks,Beginner,Paid / Subscription,0.25,1,beginner,0.0,1
Coursera,Data Science,R Programming for Statistics and Data Science,Packt,4.4,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Data Science in Health Technology Assessment,Genentech,4.4,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,0
Coursera,Data Science,Making Data Science Work for Clinical Reporting,Genentech,4.1,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,0
Coursera,Data Science,Advanced Linear Models for Data Science 1: Least Squares,Johns Hopkins University,4.5,7950.0,1 - 3 Months,Advanced,Paid / Subscription,1.0,1,advanced,2.0,1
Coursera,Data Science,Integral Calculus and Numerical Analysis for Data Science,University of Colorado Boulder,4.6,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Data Science for Agile Decision-Making,Duke University,4.5,7950.0,1 - 4 Weeks,Intermediate,Paid / Subscription,0.25,1,intermediate,1.0,1
Coursera,Data Science,Snowflake for Data Science: Intro to Snowpark ML for Python,Coursera,4.6,7950.0,2 Hours,Intermediate,Paid / Subscription,0.002777777777777778,1,intermediate,1.0,1
Coursera,Data Science,Data Science Decisions in Time: Using Causal Information,Johns Hopkins University,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
Coursera,Data Science,Python Fundamentals and Data Science Essentials,Packt,4.6,7950.0,1 - 3 Months,Beginner,Paid / Subscription,1.0,1,beginner,0.0,1
Coursera,Data Science,Marketing e Data Science,FundaÃ§Ã£o Instituto de AdministraÃ§Ã£o,4.4,7950.0,3 - 6 Months,Beginner,Paid / Subscription,3.0,1,beginner,0.0,0
Coursera,Data Science,Statistical Inference and Hypothesis Testing in Data Science Applications,University of Colorado Boulder,4.6,7950.0,1 - 3 Months,Intermediate,Paid / Subscription,1.0,1,intermediate,1.0,1
